"id";"word";"transcriptionUs";"transcriptionUk";"soundUsPath";"soundUkPath";"translates"
"254";"driver";"|ˈdraɪvər|";"|ˈdraɪvə|";"./sound/us/driver.mp3";"./sound/uk/driver.mp3";"драйвер, водитель, шофер, машинист, кучер, вагоновожатый, управляющая программа"
"255";"driving";"|ˈdraɪvɪŋ|";"|ˈdraɪvɪŋ|";"./sound/us/driving.mp3";"./sound/uk/driving.mp3";"вождение, езда, привод, движущий, приводной"
"256";"drum";"|drʌm|";"|drʌm|";"./sound/us/drum.mp3";"./sound/uk/drum.mp3";"барабан, цилиндр, барабанный бой, барабанить, вдолбить, стучать"
"257";"during";"|ˈdʊrɪŋ|";"|ˈdjʊərɪŋ|";"./sound/us/during.mp3";"./sound/uk/during.mp3";"во время, в течение, в процессе, в продолжение"
"258";"each";"|iːtʃ|";"|iːtʃ|";"./sound/us/each.mp3";"./sound/uk/each.mp3";"каждый, всякий, каждый, любой"
"259";"early";"|ˈɜːrlɪ|";"|ˈɜːlɪ|";"./sound/us/early.mp3";"./sound/uk/early.mp3";"ранний, предыдущий, преждевременный, рано, преждевременно, заблаговременно"
"260";"earn";"|ɜːrn|";"|ɜːn|";"./sound/us/earn.mp3";"./sound/uk/earn.mp3";"зарабатывать, заслуживать, наработать, приносить доход"
"261";"east";"|iːst|";"|iːst|";"./sound/us/east.mp3";"./sound/uk/east.mp3";"восток, ост, к востоку, на восток, восточный"
"262";"easy";"|ˈiːzɪ|";"|ˈiːzɪ|";"./sound/us/easy.mp3";"./sound/uk/easy.mp3";"легкий, удобный, спокойный, свободный, легко, удобно, спокойно, неторопливо"
"263";"eat";"|iːt|";"|iːt|";"./sound/us/eat.mp3";"./sound/uk/eat.mp3";"есть, кушать, съедать, поедать, закусить, разъедать, поглощать, грызть, разрушать"
"264";"eating";"|ˈiːtɪŋ|";"|ˈiːtɪŋ|";"./sound/us/eating.mp3";"./sound/uk/eating.mp3";"еда, пища, прием пищи, едящий, питающийся"
"265";"economic";"|ˌiːkəˈnɑːmɪk|";"|ˌiːkəˈnɒmɪk|";"./sound/us/economic.mp3";"./sound/uk/economic.mp3";"экономический, хозяйственный, экономичный, экономный, экономически выгодный"
"266";"editor";"|ˈedɪtər|";"|ˈedɪtə|";"./sound/us/editor.mp3";"./sound/uk/editor.mp3";"редактор, монтажер, автор передовиц"
"267";"education";"|ˌedʒʊˈkeɪʃn|";"|edʒʊˈkeɪʃ(ə)n|";"./sound/us/education.mp3";"./sound/uk/education.mp3";"образование, образованность, обучение, воспитание, просвещение, культура, развитие"
"268";"educational";"|ˌedʒʊˈkeɪʃənl|";"|edjʊˈkeɪʃ(ə)n(ə)l|";"./sound/us/educational.mp3";"./sound/uk/educational.mp3";"образовательный, учебный, воспитательный, педагогический"
"269";"egg";"|eɡ|";"|eɡ|";"./sound/us/egg.mp3";"./sound/uk/egg.mp3";"яйцо, яйцеклетка, зародыш, яичный, науськивать, подстрекать"
"270";"elevator";"|ˈelɪveɪtər|";"|ˈelɪveɪtə|";"./sound/us/elevator.mp3";"./sound/uk/elevator.mp3";"лифт, элеватор, подъемник, руль высоты, грузоподъемник, руль глубины"
"271";"else";"|els|";"|els|";"./sound/us/else.mp3";"./sound/uk/else.mp3";"еще, иначе, кроме, а то, или же, другой, иначе"
"272";"empty";"|ˈemptɪ|";"|ˈem(p)tɪ|";"./sound/us/empty.mp3";"./sound/uk/empty.mp3";"пустой, голодный, порожний, опорожнять, опорожняться, порожняк, порожняя тара"
"273";"end";"|end|";"|end|";"./sound/us/end.mp3";"./sound/uk/end.mp3";"конец, окончание, край, цель, часть, заканчивать, заканчиваться, кончать"
"274";"ending";"|ˈendɪŋ|";"|ˈendɪŋ|";"./sound/us/ending.mp3";"./sound/uk/ending.mp3";"окончание, конец, флексия, конечный, заключительный"
"275";"engineer";"|ˌendʒɪˈnɪr|";"|endʒɪˈnɪə|";"./sound/us/engineer.mp3";"./sound/uk/engineer.mp3";"инженер, механик, машинист, сапер, проектировать, создавать, подстраивать"
"276";"enjoy";"|ɪnˈdʒɔɪ|";"|ɪnˈdʒɔɪ|";"./sound/us/enjoy.mp3";"./sound/uk/enjoy.mp3";"наслаждаться, пользоваться, обладать, получать удовольствие"
"277";"especially";"|ɪˈspeʃəlɪ|";"|ɪˈspeʃ(ə)lɪ|";"./sound/us/especially.mp3";"./sound/uk/especially.mp3";"особенно, специально, главным образом, сугубо"
"278";"etc.";"|ˌetˈsetərə|";"|etˈsetrə|";"./sound/us/etc..mp3";"./sound/uk/etc..mp3";"и т. д., и т. п., и т.д"
"279";"euro";"|ˈjʊrəʊ|";"|ˈjʊərəʊ|";"./sound/us/euro.mp3";"./sound/uk/euro.mp3";"евро"
"280";"even";"|ˈiːvn|";"|ˈiːvn|";"./sound/us/even.mp3";"./sound/uk/even.mp3";"даже, ровно, точно, выровнять, четный, ровный, вечер, склон дня"
"281";"evening";"|ˈiːvnɪŋ|";"|ˈiːv(ə)nɪŋ|";"./sound/us/evening.mp3";"./sound/uk/evening.mp3";"вечер, вечеринка, закат жизни, вечерний"
"282";"ever";"|ˈevər|";"|ˈevə|";"./sound/us/ever.mp3";"./sound/uk/ever.mp3";"когда-либо, всегда, только"
"283";"every";"|ˈevrɪ|";"|ˈevrɪ|";"./sound/us/every.mp3";"./sound/uk/every.mp3";"каждый, все, всякий, полный, абсолютный, каждый, любой"
"284";"everybody";"|ˈevrɪbɑːdɪ|";"|ˈevrɪbɒdɪ|";"./sound/us/everybody.mp3";"./sound/uk/everybody.mp3";"все, каждый, всякий"
"285";"everyday";"|ˈevrɪdeɪ|";"|ˈevrɪdeɪ|";"./sound/us/everyday.mp3";"./sound/uk/everyday.mp3";"повседневный, ежедневный, каждодневный, бытовой, обычный, житейский, обиходный"
"286";"everything";"|ˈevrɪθɪŋ|";"|ˈevrɪθɪŋ|";"./sound/us/everything.mp3";"./sound/uk/everything.mp3";"все, все самое важное, куча, масса"
"287";"everywhere";"|ˈevrɪwer|";"|ˈevrɪweə|";"./sound/us/everywhere.mp3";"./sound/uk/everywhere.mp3";"везде, всюду, повсюду"
"288";"exact";"|ɪɡˈzækt|";"|ɪɡˈzækt|";"./sound/us/exact.mp3";"./sound/uk/exact.mp3";"точный, строгий, аккуратный, взыскать, взыскивать, вымогать"
"289";"exam";"|ɪɡˈzæm|";"|ɪɡˈzæm|";"./sound/us/exam.mp3";"./sound/uk/exam.mp3";"экзамен"
"290";"example";"|ɪɡˈzæmpl|";"|ɪɡˈzɑːmp(ə)l|";"./sound/us/example.mp3";"./sound/uk/example.mp3";"пример, образец, экземпляр, урок, служить примером"
"291";"except";"|ɪkˈsept|";"|ɪkˈsept|";"./sound/us/except.mp3";"./sound/uk/except.mp3";"кроме, за исключением, если не, исключать, возражать"
"292";"excited";"|ɪkˈsaɪtɪd|";"|ɪkˈsaɪtɪd|";"./sound/us/excited.mp3";"./sound/uk/excited.mp3";"возбужденный, взволнованный, экзальтированный"
"293";"exercise";"|ˈeksərsaɪz|";"|ˈeksəsaɪz|";"./sound/us/exercise.mp3";"./sound/uk/exercise.mp3";"упражнение, осуществление, осуществлять, проявлять, тренировочный"
"294";"expensive";"|ɪkˈspensɪv|";"|ɪkˈspensɪv|";"./sound/us/expensive.mp3";"./sound/uk/expensive.mp3";"дорогой, дорогостоящий"
"295";"explore";"|ɪkˈsplɔːr|";"|ɪkˈsplɔː|";"./sound/us/explore.mp3";"./sound/uk/explore.mp3";"исследовать, изучать, обследовать, разведывать, выяснять, зондировать"
"296";"expression";"|ɪkˈspreʃn|";"|ɪkˈspreʃ(ə)n|";"./sound/us/expression.mp3";"./sound/uk/expression.mp3";"выражение, экспрессия, выразительность, оборот речи, выжимание"
"297";"extra";"|ˈekstrə|";"|ˈekstrə|";"./sound/us/extra.mp3";"./sound/uk/extra.mp3";"дополнительный, лишний, дополнительно, особо, высший сорт, статист"
"298";"factory";"|ˈfæktrɪ|";"|ˈfækt(ə)rɪ|";"./sound/us/factory.mp3";"./sound/uk/factory.mp3";"завод, фабрика, фактория, заводской, фабричный"
"299";"fall";"|fɔːl|";"|fɔːl|";"./sound/us/fall.mp3";"./sound/uk/fall.mp3";"падение, осень, снижение, спад, выпадение, падать, снижаться, опускаться, впадать"
"300";"false";"|fɔːls|";"|fɔːls|";"./sound/us/false.mp3";"./sound/uk/false.mp3";"ложный, фальшивый, неправильный, лживый, ошибочный, искусственный, подставной"
"301";"family";"|ˈfæməlɪ|";"|ˈfæməlɪ|";"./sound/us/family.mp3";"./sound/uk/family.mp3";"семья, семейство, род, содружество, семейный, фамильный, родовой"
"302";"famous";"|ˈfeɪməs|";"|ˈfeɪməs|";"./sound/us/famous.mp3";"./sound/uk/famous.mp3";"известный, знаменитый, прославленный, славный, замечательный, отличный, отменный"
"303";"fantastic";"|fænˈtæstɪk|";"|fænˈtæstɪk|";"./sound/us/fantastic.mp3";"./sound/uk/fantastic.mp3";"фантастический, превосходный, чудесный, причудливый, гротескный, экстравагантный"
"304";"farmer";"|ˈfɑːrmər|";"|ˈfɑːmə|";"./sound/us/farmer.mp3";"./sound/uk/farmer.mp3";"фермер, арендатор, откупщик"
"305";"fashion";"|ˈfæʃn|";"|ˈfæʃ(ə)n|";"./sound/us/fashion.mp3";"./sound/uk/fashion.mp3";"мода, образ, стиль, фасон, вид, фасонировать, модельный"
"306";"fast";"|fæst|";"|fɑːst|";"./sound/us/fast.mp3";"./sound/uk/fast.mp3";"быстрый, скорый, быстро, скоро, крепко, пост, засов, причал, поститься, голодать"
"307";"father";"|ˈfɑːðər|";"|ˈfɑːðə|";"./sound/us/father.mp3";"./sound/uk/father.mp3";"отец, родитель, родоначальник, быть отцом, порождать"
"308";"father-in-law";"|ˈfɑːðə ɪn lɔː|";"|ˈfɑːðə ɪn lɔː|";"./sound/us/father-in-law.mp3";"./sound/uk/father-in-law.mp3";"свекор, тесть"
"309";"favour";"|ˈfeɪvər|";"|ˈfeɪvə|";"./sound/us/favour.mp3";"./sound/uk/favour.mp3";"польза, интерес, одолжение, поддерживать, благоволить"
"310";"favourite";"|ˈfeɪvərɪt|";"|ˈfeɪv(ə)rɪt|";"./sound/us/favourite.mp3";"./sound/uk/favourite.mp3";"любимый, излюбленный, фаворит, любимец, любимая вещь"
"311";"february";"|ˈfebrʊerɪ|";"|ˈfebrʊərɪ|";"./sound/us/february.mp3";"./sound/uk/february.mp3";"февраль"
"312";"feel";"|fiːl|";"|fiːl|";"./sound/us/feel.mp3";"./sound/uk/feel.mp3";"ощущение, вкус, чутье, осязание, чувствовать, почувствовать, ощущать"
"313";"feelings";"|ˈfiːlɪŋz|";"|ˈfiːlɪŋz|";"./sound/us/feelings.mp3";"./sound/uk/feelings.mp3";"чувства"
"314";"female";"|ˈfiːmeɪl|";"|ˈfiːmeɪl|";"./sound/us/female.mp3";"./sound/uk/female.mp3";"женщина, самка, женская особь, матка, женский, женского пола, охватывающий"
"315";"festival";"|ˈfestɪvl|";"|ˈfestɪv(ə)l|";"./sound/us/festival.mp3";"./sound/uk/festival.mp3";"фестиваль, празднество, праздничный"
"316";"file";"|faɪl|";"|faɪl|";"./sound/us/file.mp3";"./sound/uk/file.mp3";"файл, досье, дело, напильник, картотека, хранить, подшивать, подпиливать, пилить"
"317";"film";"|fɪlm|";"|fɪlm|";"./sound/us/film.mp3";"./sound/uk/film.mp3";"фильм, пленка, кино, кино-, экранизировать"
"318";"final";"|ˈfaɪnl|";"|ˈfaɪn(ə)l|";"./sound/us/final.mp3";"./sound/uk/final.mp3";"конец, окончание, окончательный, конечный, заключительный, выпускные экзамены"
"319";"find";"|faɪnd|";"|faɪnd|";"./sound/us/find.mp3";"./sound/uk/find.mp3";"находить, считать, обрести, изыскать, находка, открытие"
"320";"fine";"|faɪn|";"|faɪn|";"./sound/us/fine.mp3";"./sound/uk/fine.mp3";"штраф, пеня, оштрафовать, прекрасный, тонкий, прекрасно, хорошо"
"321";"finish";"|ˈfɪnɪʃ|";"|ˈfɪnɪʃ|";"./sound/us/finish.mp3";"./sound/uk/finish.mp3";"отделка, финиш, окончание, конец, завершать, заканчивать, финишировать"
"322";"fish";"|fɪʃ|";"|fɪʃ|";"./sound/us/fish.mp3";"./sound/uk/fish.mp3";"рыба, рыбная ловля, крабы, рыбный, ловить рыбу, рыбачить"
"323";"flag";"|flæɡ|";"|flæɡ|";"./sound/us/flag.mp3";"./sound/uk/flag.mp3";"флаг, флажок, знамя, признак, стяг, плита, помечать, отмечать, ослабевать, повиснуть"
"324";"flat";"|flæt|";"|flæt|";"./sound/us/flat.mp3";"./sound/uk/flat.mp3";"плоский, ровный, плоско, ровно, плашмя, квартира, бемоль, делать плоским"
"325";"flight";"|flaɪt|";"|flaɪt|";"./sound/us/flight.mp3";"./sound/uk/flight.mp3";"рейс, полет, перелет, бегство, полетный, совершать перелет"
"326";"floor";"|flɔːr|";"|flɔː|";"./sound/us/floor.mp3";"./sound/uk/floor.mp3";"этаж, пол, настил, перекрытие, напольный, справляться"
"327";"flower";"|ˈflaʊər|";"|ˈflaʊə|";"./sound/us/flower.mp3";"./sound/uk/flower.mp3";"цветок, цвет, цветение, расцвет, цвести, быть в расцвете"
"328";"follow";"|ˈfɑːləʊ|";"|ˈfɒləʊ|";"./sound/us/follow.mp3";"./sound/uk/follow.mp3";"следить, следовать, придерживаться, идти, накат, удар накатом"
"329";"following";"|ˈfɑːləʊɪŋ|";"|ˈfɒləʊɪŋ|";"./sound/us/following.mp3";"./sound/uk/following.mp3";"следующий, следующее, после, вследствие, вслед"
"330";"food";"|fuːd|";"|fuːd|";"./sound/us/food.mp3";"./sound/uk/food.mp3";"еда, питание, пища, продовольствие, корм, съестные припасы, провизия"
"331";"football";"|ˈfʊtbɔːl|";"|ˈfʊtbɔːl|";"./sound/us/football.mp3";"./sound/uk/football.mp3";"футбол, футбольный мяч, футбольный"
"332";"footballer";"|ˈfʊtbɔːlər|";"|ˈfʊtbɔːlə|";"./sound/us/footballer.mp3";"./sound/uk/footballer.mp3";"футболист"
"333";"for";"|fɔːr|";"|fər|";"./sound/us/for.mp3";"./sound/uk/for.mp3";"для, на, за, в, к, в течение, от, ради, из-за, вместо, ибо, ввиду того, что"
"334";"foreign";"|ˈfɔːrən|";"|ˈfɒrɪn|";"./sound/us/foreign.mp3";"./sound/uk/foreign.mp3";"иностранный, зарубежный, внешний, чужой, инородный, чуждый, несоответствующий"
"335";"foreigner";"|ˈfɔːrənər|";"|ˈfɒrɪnə|";"./sound/us/foreigner.mp3";"./sound/uk/foreigner.mp3";"иностранец, чужеземец, чужестранец, чужой, иноземец, иностранный корабль"
"336";"forever";"|fərˈevər|";"|fəˈrevə|";"./sound/us/forever.mp3";"./sound/uk/forever.mp3";"навсегда, навечно, постоянно, вечность"
"337";"forget";"|fərˈɡet|";"|fəˈɡet|";"./sound/us/forget.mp3";"./sound/uk/forget.mp3";"забывать, не помнить, позабывать, перезабыть"
"338";"form";"|fɔːrm|";"|ˈfɔːm|";"./sound/us/form.mp3";"./sound/uk/form.mp3";"форма, вид, бланк, класс, формат, образ, анкета, образовывать, формировать"
"339";"founder";"|ˈfaʊndər|";"|ˈfaʊndə|";"./sound/us/founder.mp3";"./sound/uk/founder.mp3";"основатель, учредитель, основоположник, оседать, охрометь, разбивать ногу, падать"
"340";"free";"|friː|";"|friː|";"./sound/us/free.mp3";"./sound/uk/free.mp3";"бесплатный, бесплатно, свободно, освобождать, выходной"
"341";"freedom";"|ˈfriːdəm|";"|ˈfriːdəm|";"./sound/us/freedom.mp3";"./sound/uk/freedom.mp3";"свобода, право, независимость, воля, вольность, приволье, привилегия"
"342";"frequency";"|ˈfriːkwənsɪ|";"|ˈfriːkw(ə)nsɪ|";"./sound/us/frequency.mp3";"./sound/uk/frequency.mp3";"частота, частотность, частое повторение, частотный"
"343";"fresh";"|freʃ|";"|freʃ|";"./sound/us/fresh.mp3";"./sound/uk/fresh.mp3";"свежий, новый, недавно, прохлада, половодье, свежеть"
"344";"friday";"|ˈfraɪdeɪ|";"|ˈfraɪdeɪ|";"./sound/us/friday.mp3";"./sound/uk/friday.mp3";"пятница"
"345";"friend";"|frend|";"|frend|";"./sound/us/friend.mp3";"./sound/uk/friend.mp3";"друг, подруга, приятель, знакомый, товарищ, быть другом, помогать"
"346";"friendly";"|ˈfrendlɪ|";"|ˈfren(d)lɪ|";"./sound/us/friendly.mp3";"./sound/uk/friendly.mp3";"дружественный, дружественно, дружелюбно, товарищеская встреча"
"347";"frightened";"|ˈfraɪtnd|";"|ˈfraɪtnd|";"./sound/us/frightened.mp3";"./sound/uk/frightened.mp3";"испуганный, напуганный"
"348";"from";"|frʌm|";"|frəm|";"./sound/us/from.mp3";"./sound/uk/from.mp3";"от, из, с, судя по"
"349";"fruit";"|fruːt|";"|fruːt|";"./sound/us/fruit.mp3";"./sound/uk/fruit.mp3";"фрукты, фрукт, плод, плоды, фруктовый, плодоносить"
"350";"full";"|fʊl|";"|fʊl|";"./sound/us/full.mp3";"./sound/uk/full.mp3";"полный, целый, наполненный, вполне, очень, как раз, валять, кроить широко"
"351";"fun";"|fʌn|";"|fʌn|";"./sound/us/fun.mp3";"./sound/uk/fun.mp3";"веселье, забава, потеха, шутка, шутить"
"352";"funny";"|ˈfʌnɪ|";"|ˈfʌnɪ|";"./sound/us/funny.mp3";"./sound/uk/funny.mp3";"смешной, забавный, странный, потешный, анекдот, страничка юмора в газете"
"353";"game";"|ɡeɪm|";"|ɡeɪm|";"./sound/us/game.mp3";"./sound/uk/game.mp3";"игра, партия, дичь, игровой, боевой, играть в азартные игры"
"354";"gap";"|ɡæp|";"|ɡæp|";"./sound/us/gap.mp3";"./sound/uk/gap.mp3";"разрыв, зазор, щель, пробел, промежуток, дефицит, отставание, брешь, интервал, отверстие"
"355";"garden";"|ˈɡɑːrdn|";"|ˈɡɑːd(ə)n|";"./sound/us/garden.mp3";"./sound/uk/garden.mp3";"сад, огород, парк, садовый, огородный, возделывать, разводить"
"356";"gate";"|ɡeɪt|";"|ɡeɪt|";"./sound/us/gate.mp3";"./sound/uk/gate.mp3";"ворота, затвор, калитка, шлюз, вход, шибер, шлагбаум, заслонка, литник, выход, клапан"
"357";"gender";"|ˈdʒendər|";"|ˈdʒendə|";"./sound/us/gender.mp3";"./sound/uk/gender.mp3";"пол, род, порождать"
"358";"generally";"|ˈdʒenrəlɪ|";"|ˈdʒen(ə)rəlɪ|";"./sound/us/generally.mp3";"./sound/uk/generally.mp3";"вообще, обычно, как правило, в целом, в общем, в большинстве случаев"
"359";"get";"|ɡet|";"|ɡet|";"./sound/us/get.mp3";"./sound/uk/get.mp3";"получать, попасть, добираться, потомство, приплод, идиот, дурак"
"360";"get up";"|ˈɡet ʌp|";"|ˈɡet ʌp|";"./sound/us/get up.mp3";"./sound/uk/get up.mp3";"вставать, подниматься, дорожать, взбираться, причесывать, садиться, оформлять"
"361";"girl";"|ɡɜːrl|";"|ɡɜːl|";"./sound/us/girl.mp3";"./sound/uk/girl.mp3";"девушка, девочка, молодая женщина, невеста, служанка, возлюбленная, хористка"
"362";"girlfriend";"|ˈɡɜːrlfrend|";"|ˈɡɜːlfrend|";"./sound/us/girlfriend.mp3";"./sound/uk/girlfriend.mp3";"подруга, любимая девушка"
"363";"give";"|ɡɪv|";"|ɡɪv|";"./sound/us/give.mp3";"./sound/uk/give.mp3";"давать, придать, отдавать, предоставлять, податливость, эластичность"
"364";"glasses";"|ˈɡlasəz|";"|ˈɡlɑːsɪz|";"./sound/us/glasses.mp3";"./sound/uk/glasses.mp3";"очки"
"365";"glossary";"|ˈɡlɑːsərɪ|";"|ˈɡlɒs(ə)rɪ|";"./sound/us/glossary.mp3";"./sound/uk/glossary.mp3";"глоссарий, словарь"
"366";"go";"|ɡəʊ|";"|ɡəʊ|";"./sound/us/go.mp3";"./sound/uk/go.mp3";"идти, ехать, ходить, переходить, ездить, ход, движение, попытка, ходьба"
"367";"gold";"|ɡəʊld|";"|ɡəʊld|";"./sound/us/gold.mp3";"./sound/uk/gold.mp3";"золотой, золотистого цвета, золото, злато, золотистый цвет"
"368";"good";"|ɡʊd|";"|ɡʊd|";"./sound/us/good.mp3";"./sound/uk/good.mp3";"хороший, добрый, благой, хорошо, добро, благо, польза"
"369";"goodbye";"|ˌɡʊdˈbaɪ|";"|ɡʊdˈbaɪ|";"./sound/us/goodbye.mp3";"./sound/uk/goodbye.mp3";"прощание"
"370";"goodnight";"|ˌɡʊdˈnaɪt|";"|ɡʊdˈnaɪt|";"./sound/us/goodnight.mp3";"./sound/uk/goodnight.mp3";"пожелание доброй ночи, доброй ночи"
"371";"grammar";"|ˈɡræmər|";"|ˈɡræmə|";"./sound/us/grammar.mp3";"./sound/uk/grammar.mp3";"грамматика, учебник грамматики, грамматические навыки, введение в науку"
"372";"grandfather";"|ˈɡrænfɑːðər|";"|ˈɡræn(d)fɑːðə|";"./sound/us/grandfather.mp3";"./sound/uk/grandfather.mp3";"дед, дедушка"
"373";"grandma";"|ˈɡrænmɑː|";"|ˈɡræn(d)mɑː|";"./sound/us/grandma.mp3";"./sound/uk/grandma.mp3";"бабушка"
"374";"grandmother";"|ˈɡrænmʌðər|";"|ˈɡræn(d)mʌðə|";"./sound/us/grandmother.mp3";"./sound/uk/grandmother.mp3";"бабушка, баловать"
"375";"grandpa";"|ˈɡrænpɑː|";"|ˈɡræn(d)pɑː|";"./sound/us/grandpa.mp3";"./sound/uk/grandpa.mp3";"дед, дедушка"
"376";"grandparents";"|ˈɡrændˌperənts|";"|ˈɡrænpeərənts|";"./sound/us/grandparents.mp3";"./sound/uk/grandparents.mp3";"бабушка и дедушка, дедушка и бабушка"
"377";"grass";"|ɡræs|";"|ɡrɑːs|";"./sound/us/grass.mp3";"./sound/uk/grass.mp3";"трава, травка, газон, злак, луг, засевать травой, пастись, подножный"
"378";"great";"|ɡreɪt|";"|ɡreɪt|";"./sound/us/great.mp3";"./sound/uk/great.mp3";"большой, отличный, великий, замечательно, вельможи"
"379";"green";"|ɡriːn|";"|ɡriːn|";"./sound/us/green.mp3";"./sound/uk/green.mp3";"зеленый, сырой, свежий, зелень, зеленый цвет, зеленеть"
"380";"greet";"|ɡriːt|";"|ɡriːt|";"./sound/us/greet.mp3";"./sound/uk/greet.mp3";"приветствовать, встречать, здороваться, кланяться, раскланяться, плакать"
"381";"grey";"|ɡreɪ|";"|ɡreɪ|";"./sound/us/grey.mp3";"./sound/uk/grey.mp3";"серый, Грэй"
"382";"group";"|ɡruːp|";"|ɡruːp|";"./sound/us/group.mp3";"./sound/uk/group.mp3";"группа, группировка, группировать, групповой"
"383";"guess";"|ɡes|";"|ɡes|";"./sound/us/guess.mp3";"./sound/uk/guess.mp3";"предположение, догадка, предполагать, полагать, догадываться"
"384";"guide";"|ɡaɪd|";"|ɡaɪd|";"./sound/us/guide.mp3";"./sound/uk/guide.mp3";"руководство, путеводитель, гид, проводник, направлять, вести, руководить"
"385";"guitar";"|ɡɪˈtɑːr|";"|ɡɪˈtɑː|";"./sound/us/guitar.mp3";"./sound/uk/guitar.mp3";"гитара"
"386";"gym";"|dʒɪm|";"|dʒɪm|";"./sound/us/gym.mp3";"./sound/uk/gym.mp3";"гимнастика, гимнастический зал, гимнастика, гимнастический зал"
"387";"habit";"|ˈhæbɪt|";"|ˈhæbɪt|";"./sound/us/habit.mp3";"./sound/uk/habit.mp3";"привычка, обыкновение, обычай, габитус, облачать, одевать"
"388";"hair";"|her|";"|heə|";"./sound/us/hair.mp3";"./sound/uk/hair.mp3";"волосы, волос, шерсть, волосок, шевелюра, волосяной"
"389";"hairdresser";"|ˈherdresər|";"|ˈheədresə|";"./sound/us/hairdresser.mp3";"./sound/uk/hairdresser.mp3";"парикмахер"
"390";"half";"|hæf|";"|hɑːf|";"./sound/us/half.mp3";"./sound/uk/half.mp3";"половинный, неполный, половина, тайм, часть, наполовину, почти"
"391";"hall";"|hɔːl|";"|hɔːl|";"./sound/us/hall.mp3";"./sound/uk/hall.mp3";"зал, зала, холл, коридор, вестибюль, передняя, чертог, приемная, усадьба"
"392";"hamburger";"|ˈhæmbɜːrɡər|";"|ˈhæmbɜːɡə|";"./sound/us/hamburger.mp3";"./sound/uk/hamburger.mp3";"гамбургер, рубленый бифштекс, булочка с котлетой"
"393";"hand";"|hænd|";"|hænd|";"./sound/us/hand.mp3";"./sound/uk/hand.mp3";"рука, сторона, стрелка, ручной, подручный, передавать, помочь, вручать"
"394";"happen";"|ˈhæpən|";"|ˈhæp(ə)n|";"./sound/us/happen.mp3";"./sound/uk/happen.mp3";"происходить, случаться, бывать, статься, случайно найти, приводиться"
"395";"happily";"|ˈhæpɪlɪ|";"|ˈhæpɪlɪ|";"./sound/us/happily.mp3";"./sound/uk/happily.mp3";"счастливо, к счастью, весело, успешно, удачно"
"396";"happy";"|ˈhæpɪ|";"|ˈhæpɪ|";"./sound/us/happy.mp3";"./sound/uk/happy.mp3";"счастливый, довольный, веселый, благополучный, удачный, навеселе, подходящий"
"397";"hard";"|hɑːrd|";"|hɑːd|";"./sound/us/hard.mp3";"./sound/uk/hard.mp3";"жесткий, трудный, твердый, жестко, твердо, тяжело, каторга, брод"
"398";"hardly";"|ˈhɑːrdlɪ|";"|ˈhɑːdlɪ|";"./sound/us/hardly.mp3";"./sound/uk/hardly.mp3";"вряд ли, едва, едва ли, чуть, с трудом, еле, насилу, резко, сурово, несправедливо"
"399";"has";"|hæz|";"|həz|";"./sound/us/has.mp3";"./sound/uk/has.mp3";"иметь, обладать, получать, содержать, испытывать, проводить, знать, родить, говорить"
"400";"have";"|hæv|";"|həv|";"./sound/us/have.mp3";"./sound/uk/have.mp3";"иметь, обладать, получать, содержать, обман, мошенничество"
"401";"having";"|ˈhævɪŋ|";"|ˈhævɪŋ|";"./sound/us/having.mp3";"./sound/uk/having.mp3";"имеющий, обладающий, владеющий, обладание"
"402";"he";"|hiː|";"|hɪ|";"./sound/us/he.mp3";"./sound/uk/he.mp3";"он, него, мужчина, водящий, взрывчатое вещество"
"403";"heading";"|ˈhedɪŋ|";"|ˈhedɪŋ|";"./sound/us/heading.mp3";"./sound/uk/heading.mp3";"заголовок, рубрика, курс, направление, ведущий"
"404";"headphones";"|ˈhedˌfəʊnz|";"|ˈhedfəʊnz|";"./sound/us/headphones.mp3";"./sound/uk/headphones.mp3";"наушники"
"405";"healthy";"|ˈhelθɪ|";"|ˈhelθɪ|";"./sound/us/healthy.mp3";"./sound/uk/healthy.mp3";"здоровый, полезный, здравый, значительный, разумный, жизнеспособный, безопасный"
"406";"hear";"|hɪr|";"|hɪə|";"./sound/us/hear.mp3";"./sound/uk/hear.mp3";"услышать, слышать, слушать, заслушивать, выслушивать, узнавать, услыхать, внимать"
"407";"heart";"|hɑːrt|";"|hɑːt|";"./sound/us/heart.mp3";"./sound/uk/heart.mp3";"сердце, центр, суть, душа, сердцевина, ядро, любовь, чувства, сущность, мужество"
"408";"hello";"|həˈləʊ|";"|həˈləʊ|";"./sound/us/hello.mp3";"./sound/uk/hello.mp3";"привет, здравствуй, здороваться, звать, окликать, приветствие, приветственный возглас"
"409";"help";"|help|";"|help|";"./sound/us/help.mp3";"./sound/uk/help.mp3";"помощь, помощник, подсказка, подмога, помогать, способствовать"
"410";"her";"|hɜːr|";"|hər|";"./sound/us/her.mp3";"./sound/uk/her.mp3";"ее, ей, свой, принадлежащий ей"
"411";"herbal";"|ˈɜːrbl|";"|ˈhɜːb(ə)l|";"./sound/us/herbal.mp3";"./sound/uk/herbal.mp3";"травяной"
"412";"here";"|hɪr|";"|hɪə|";"./sound/us/here.mp3";"./sound/uk/here.mp3";"здесь, сюда, вот, тут, вон, в этот момент, настоящее место"
